Ref Num,EC Number
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1.1
173,1.1
174,1.1
175,1.1
176,1.1
177,1.1
178,1.1
179,1.11
180,1.13
181,1.13
182,1.13
183,1.14
184,1.14
185,1.14
186,1.14
187,1.14
188,1.14
189,1.14
190,1.14
191,1.14
192,1.14
193,1.14
194,1.14
195,1.14
196,1.14
197,1.14
198,1.14
199,1.14
200,1.14
201,1.14
202,1.14
203,1.14
204,1.14
205,1.14
206,1.14
207,1.14
208,1.14
209,1.14
210,1.14
211,1.14
212,1.14
213,1.14
214,1.14
215,1.14
216,1.14
217,1.14
218,1.14
219,1.14
220,1.14
221,1.14
222,1.14
223,1.14
224,1.14
225,1.14
226,1.14
227,1.14
228,1.14
229,1.14
230,1.14
231,1.14
232,1.14
233,1.14
234,1.14
235,1.14
236,1.14
237,1.14
238,1.14
239,1.14
240,1.14
241,1.14
242,1.14
243,1.14
244,1.14
245,1.14
246,1.14
247,1.14
248,1.16
249,1.16
250,1.16
251,1.16
252,1.16
253,1.16
254,1.16
255,1.16
256,1.16
257,1.16
258,1.16
259,1.16
260,1.16
261,1.16
262,1.16
263,1.16
264,1.16
265,1.16
266,1.16
267,1.16
268,1.16
269,1.16
270,1.16
271,1.16
272,1.16
273,1.16
274,1.16
275,1.16
276,1.16
277,1.16
278,1.16
279,1.16
280,1.16
281,1.16
282,1.16
283,1.16
284,1.16
285,1.16
286,1.16
287,1.16
288,1.16
289,1.16
290,1.18
291,1.2
292,1.3
293,1.3
294,1.3
295,1.3
296,1.3
297,1.3
298,1.3
299,1.3
300,1.3
301,1.3
302,1.3
303,1.3
304,1.4
305,1.4
306,1.4
307,1.4
308,1.4
309,1.4
310,1.5
311,1.5
312,1.5
313,1.6
314,1.6
315,1.6
316,1.6
317,1.6
318,1.7
319,1.7
320,1.7
321,1.7
322,1.7
323,1.7
324,1.8
325,1.8
326,1.8
327,1.8
328,1.8
329,1.8
330,1.8
331,1.8
332,1.8
333,1.8
334,1.8
335,1.8
336,1.8
337,1.8
338,1.8
339,1.8
340,1.8
341,1.8
342,1.8
343,1.8
344,1.8
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2.1
366,2.1
367,2.1
368,2.3
369,2.3
370,2.3
371,2.3
372,2.3
373,2.3
374,2.3
375,2.3
376,2.4
377,2.4
378,2.4
379,2.4
380,2.4
381,2.4
382,2.4
383,2.6
384,2.7
385,2.7
386,2.7
387,2.7
388,2.7
389,2.7
390,2.7
391,2.7
392,2.7
393,2.7
394,2.7
395,2.7
396,2.7
397,2.7
398,2.7
399,2.7
400,2.7
401,2.7
402,2.7
403,2.7
404,2.7
405,2.7
406,2.7
407,2.7
408,2.7
409,2.7
410,2.7
411,2.7
412,2.7
413,2.7
414,2.7
415,2.7
416,2.7
417,2.7
418,2.7
419,2.7
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,3
466,3
467,3
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,3
485,3
486,3
